	id	name	metacyc_id	kegg_id	seed_id	metanetx_id	metacyc_from_bigg	iML1515	iYO844	iAF692	metacyc_id_iML1515	kegg_id_iML1515	seed_id_iML1515	metanetx_id_iML1515	metacyc_id_iYO844	kegg_id_iYO844	seed_id_iYO844	metanetx_id_iYO844	metacyc_id_iAF692	kegg_id_iAF692	seed_id_iAF692	metanetx_id_iAF692
466	FMNRx2	FMN reductase	RXN-12444	R05706	rxn13930; rxn13939; rxn03975	MNXR99597	FLAVONADPREDUCT-RXN	iML1515			['META:RXN-12444']	['R05706']	['rxn13939', 'rxn03975', 'rxn13930']	['MNXR99597']								
2987	FMNRy					MNXR99608			iYO844									['MNXR99608']				
2632	FMNt	FMN transporter, periplasm						iML1515														
2526	FMNtex	FMN transport, outer membrane						iML1515														
2811	FOLD3		H2PTEROATESYNTH-RXN		rxn02201	MNXR143108	H2PTEROATESYNTH-RXN		iYO844								['rxn02201']	['MNXR143108']				
2959	FOLR2			R02236	rxn01602	MNXR97400			iYO844	iAF692						['R02236']	['rxn01602']	['MNXR97400']		['R02236']	['rxn01602']	['MNXR97400']
2944	FOLt				rxn05255	MNXR99612			iYO844	iAF692							['rxn05255']	['MNXR99612']			['rxn05255']	['MNXR99612']
2427	FOMETRi	Aminomethyltransferase		R02300	rxn01652	MNXR99614		iML1515				['R02300']	['rxn01652']	['MNXR99614']								
2945	FORAMD		FORMAMIDASE-RXN	R00524	rxn00374	MNXR99615	FORMAMIDASE-RXN		iYO844						['META:FORMAMIDASE-RXN']	['R00524']	['rxn00374']	['MNXR99615']				
2691	FORCT	Formyl-CoA Transferase	RXN0-1382	R07290	rxn05044	MNXR99616	RXN0-1382	iML1515			['META:RXN0-1382']	['R07290']	['rxn05044']	['MNXR99616']								
2991	FORt2				rxn08524; rxn05559	MNXR99621			iYO844								['rxn08524', 'rxn05559']	['MNXR99621']				
1508	FORt2pp	Formate transport via proton symport (uptake only, periplasm)			rxn08524; rxn05559	MNXR99621		iML1515					['rxn08524', 'rxn05559']	['MNXR99621']								
1854	FORtex	Formate transport via diffusion (extracellular to periplasm)	TRANS-RXN-1		rxn09682; rxn08525; rxn09754; rxn08526	MNXR99620	TRANS-RXN-1	iML1515			['META:TRANS-RXN-1']		['rxn09754', 'rxn08525', 'rxn09682', 'rxn08526']	['MNXR99620']								
1007	FORtppi	Formate transport via diffusion (cytoplasm to periplasm)	TRANS-RXN-1		rxn09682; rxn08525; rxn09754; rxn08526	MNXR99620	TRANS-RXN-1	iML1515			['META:TRANS-RXN-1']		['rxn09754', 'rxn08525', 'rxn09682', 'rxn08526']	['MNXR99620']								
72	FRD2	Fumarate reductase			rxn08527	MNXR99637		iML1515					['rxn08527']	['MNXR99637']								
73	FRD3	Fumarate reductase			rxn08528	MNXR99639		iML1515					['rxn08528']	['MNXR99639']								
2949	FRTT		FARNESYLTRANSTRANSFERASE-RXN	R02061	rxn01486	MNXR99650	FARNESYLTRANSTRANSFERASE-RXN		iYO844	iAF692					['META:FARNESYLTRANSTRANSFERASE-RXN']	['R02061']	['rxn01486']	['MNXR99650']	['META:FARNESYLTRANSTRANSFERASE-RXN']	['R02061']	['rxn01486']	['MNXR99650']
3584	FRTT2				rxn10523	MNXR99651				iAF692											['rxn10523']	['MNXR99651']
441	FRUK	Fructose-1-phosphate kinase	1PFRUCTPHOSN-RXN		rxn01492	MNXR99652	1PFRUCTPHOSN-RXN	iML1515	iYO844				['rxn01492']	['MNXR99652']			['rxn01492']	['MNXR99652']				
1235	FRULYSDG	Fructoselysine phosphate deglycase			rxn08530	MNXR99653		iML1515					['rxn08530']	['MNXR99653']								
2277	FRULYSE	Fructoselysine 3-epimerase	RXN0-4841		rxn08531	MNXR99654	RXN0-4841	iML1515			['META:RXN0-4841']		['rxn08531']	['MNXR99654']								
989	FRULYSK	Fructoselysine Kinase			rxn08532	MNXR99655		iML1515					['rxn08532']	['MNXR99655']								
2278	FRULYSt2pp	Fructoselysine transport via proton symport (periplasm)			rxn08533	MNXR99656		iML1515					['rxn08533']	['MNXR99656']								
853	FRULYStex	Fructoselysine transporter via diffusion (extracellular)	TRANS-RXN0-417		rxn08534	MNXR99657	TRANS-RXN0-417	iML1515			['META:TRANS-RXN0-417']		['rxn08534']	['MNXR99657']								
1317	FRUURt2rpp	D-fructuronate transport via proton symport, reversible (periplasm)	TRANS-RXN-81		rxn08538	MNXR99658		iML1515			['META:TRANS-RXN-81']		['rxn08538']	['MNXR99658']								
1318	FRUURtex	D-fructuronate transport via diffusion (extracellular)			rxn08539	MNXR99659		iML1515					['rxn08539']	['MNXR99659']								
3283	FRUpts				rxn08536; rxn05560	MNXR99661			iYO844								['rxn05560', 'rxn08536']	['MNXR99661']				
1818	FRUpts2pp	Fructose transport via PEP:Pyr PTS (f6p generating) (periplasm)				MNXR99662		iML1515						['MNXR99662']								
868	FRUptspp	D-fructose transport via PEP:Pyr PTS (periplasm)			rxn08536; rxn05560	MNXR99661		iML1515					['rxn05560', 'rxn08536']	['MNXR99661']								
932	FRUtex	D-fructose transport via diffusion (extracellular to periplasm)			rxn08537; rxn12996	MNXR99663		iML1515					['rxn12996', 'rxn08537']	['MNXR99663']								
179	FTHFD	Formyltetrahydrofolate deformylase		R00944		MNXR99669		iML1515	iYO844			['R00944']		['MNXR99669']		['R00944']		['MNXR99669']				
641	FTHFLi	Formate-tetrahydrofolate ligase		R00943		MNXR99672		iML1515				['R00943']		['MNXR99672']								
933	FUCtex	L-fucose transport via diffusion (extracellular to periplasm)				MNXR99704		iML1515						['MNXR99704']								
869	FUCtpp	L-fucose transport via proton symport (periplasm)	TRANS-RXN-20			MNXR99703		iML1515			['META:TRANS-RXN-20']			['MNXR99703']								
195	FUM	Fumarase	FUMHYDR-RXN	R01082	rxn00799	MNXR99705	FUMHYDR-RXN	iML1515	iYO844	iAF692	['META:FUMHYDR-RXN']	['R01082']	['rxn00799']	['MNXR99705']	['META:FUMHYDR-RXN']	['R01082']	['rxn00799']	['MNXR99705']	['META:FUMHYDR-RXN']	['R01082']	['rxn00799']	['MNXR99705']
2661	FUMt1pp	Fumarate transport via diffusion in (periplasm)						iML1515														
875	FUMt2_2pp	Fumarate transport via proton symport (2 H) (periplasm)	TRANS-RXN-121B		rxn10152; rxn08542	MNXR99711	TRANS-RXN0-553	iML1515			['META:TRANS-RXN-121B']		['rxn08542', 'rxn10152']	['MNXR99711']								
876	FUMt2_3pp	Fumarate transport via proton symport (3 H) (periplasm)	TRANS-RXN-299		rxn08543; rxn10158	MNXR99712	TRANS-RXN-299	iML1515			['META:TRANS-RXN-299']		['rxn08543', 'rxn10158']	['MNXR99712']								
2997	FUMt2r				rxn05561	MNXR99713			iYO844								['rxn05561']	['MNXR99713']				
939	FUMtex	Fumarate transport via diffusion (extracellular to periplasm)	TRANS-RXN0-553		rxn11013; rxn08544	MNXR99715		iML1515			['META:TRANS-RXN0-553']		['rxn08544', 'rxn11013']	['MNXR99715']								
2672	FUSAtex	Fusidic acid transport via diffusion (extracellular to periplasm)				MNXR99717		iML1515						['MNXR99717']								
2358	FUSAtpp	Fusidic acid transport via TolC system				MNXR99718		iML1515						['MNXR99718']								
2636	Ftex	Fluoride transport via diffusion						iML1515														
2513	Ftpp	F- efflux transport						iML1515														
2964	G1Dx		GLUCOSE-1-DEHYDROGENASE-NAD+-RXN	R00300	rxn00217	MNXR106461			iYO844						['META:GLUCOSE-1-DEHYDROGENASE-NAD+-RXN']	['R00300']	['rxn00217']	['MNXR106461']				
520	G1PACT	Glucosamine-1-phosphate N-acetyltransferase	2.3.1.157-RXN		rxn03638	MNXR99841	2.3.1.157-RXN	iML1515	iYO844	iAF692			['rxn03638']	['MNXR99841']			['rxn03638']	['MNXR99841']			['rxn03638']	['MNXR99841']
3586	G1PDH					MNXR99843				iAF692												['MNXR99843']
68	G1PP	Glucose-1-phosphatase	RXN-17330; GLUCOSE-1-PHOSPHAT-RXN	R00304	rxn00221	MNXR99844		iML1515			['META:GLUCOSE-1-PHOSPHAT-RXN', 'META:RXN-17330']	['R00304']	['rxn00221']	['MNXR99844']								
2999	G1PPDM					MNXR99845			iYO844									['MNXR99845']				
1682	G1PPpp	Glucose-1-phosphatase	RXN-17330; GLUCOSE-1-PHOSPHAT-RXN	R00304	rxn00221	MNXR99844		iML1515			['META:GLUCOSE-1-PHOSPHAT-RXN', 'META:RXN-17330']	['R00304']	['rxn00221']	['MNXR99844']								
341	G1PTT	Glucose-1-phosphate thymidylyltransferase	DTDPGLUCOSEPP-RXN	R02328	rxn01675	MNXR99846		iML1515		iAF692	['META:DTDPGLUCOSEPP-RXN']	['R02328']	['rxn01675']	['MNXR99846']					['META:DTDPGLUCOSEPP-RXN']	['R02328']	['rxn01675']	['MNXR99846']
2953	G1Pt6_2				rxn05562	MNXR99848			iYO844								['rxn05562']	['MNXR99848']				
1589	G1Ptex	D-glucose 1-phosphate transport via diffusion			rxn08545	MNXR99849		iML1515					['rxn08545']	['MNXR99849']								
258	G1SAT	Glutamate-1-semialdehyde aminotransferase	GSAAMINOTRANS-RXN	R02272	rxn01629	MNXR99850	GSAAMINOTRANS-RXN	iML1515	iYO844	iAF692	['META:GSAAMINOTRANS-RXN']	['R02272']	['rxn01629']	['MNXR99850']	['META:GSAAMINOTRANS-RXN']	['R02272']	['rxn01629']	['MNXR99850']	['META:GSAAMINOTRANS-RXN']	['R02272']	['rxn01629']	['MNXR99850']
2531	G2PP	Glycerol-2-phosphate phosphatase	GLYCEROL-2-PHOSPHATASE-RXN	R01043	rxn00766	MNXR99852	GLYCEROL-2-PHOSPHATASE-RXN	iML1515			['META:GLYCEROL-2-PHOSPHATASE-RXN']	['R01043']	['rxn00766']	['MNXR99852']								
1601	G2PPpp	Glycerol 2-phosphate phosphatase (periplasmic)	GLYCEROL-2-PHOSPHATASE-RXN	R01043	rxn00766	MNXR99852	GLYCEROL-2-PHOSPHATASE-RXN	iML1515			['META:GLYCEROL-2-PHOSPHATASE-RXN']	['R01043']	['rxn00766']	['MNXR99852']								
2194	G3PAT120	Glycerol-3-phosphate acyltransferase (C12:0)				MNXR99854		iML1515						['MNXR99854']								
1998	G3PAT140	Glycerol-3-phosphate acyltransferase (C14:0)				MNXR99855		iML1515						['MNXR99855']								
1880	G3PAT141	Glycerol-3-phosphate acyltransferase (C14:1)				MNXR99856		iML1515						['MNXR99856']								
1999	G3PAT160	Glycerol-3-phosphate acyltransferase (C16:0)				MNXR99857		iML1515						['MNXR99857']								
2000	G3PAT161	Glycerol-3-phosphate acyltransferase (C16:1)				MNXR99859		iML1515						['MNXR99859']								
2069	G3PAT180	Glycerol-3-phosphate acyltransferase (C18:0)				MNXR99860		iML1515						['MNXR99860']								
1885	G3PAT181	Glycerol-3-phosphate acyltransferase (C18:1)				MNXR99862		iML1515						['MNXR99862']								
3001	G3PCT		2.7.7.39-RXN	R00856	rxn00621	MNXR99872	2.7.7.39-RXN		iYO844						['META:2.7.7.39-RXN']	['R00856']	['rxn00621']	['MNXR99872']				
1785	G3PCabcpp	Sn-glycerol-3-phosphocholine transport via ABC system (periplasm)			rxn08553	MNXR99873		iML1515					['rxn08553']	['MNXR99873']								
1586	G3PCtex	Glycero-3-phosphocholine transport via diffusion (extracellular to periplasm)			rxn13291; rxn08554	MNXR99874		iML1515					['rxn08554', 'rxn13291']	['MNXR99874']								
3005	G3PD1ir		1.1.1.8-RXN	R00842	rxn00611	MNXR99876	1.1.1.8-RXN		iYO844						['META:1.1.1.8-RXN']	['R00842']	['rxn00611']	['MNXR99876']				
472	G3PD2	Glycerol-3-phosphate dehydrogenase (NADP)		R00844	rxn00612	MNXR99877		iML1515				['R00844']	['rxn00612']	['MNXR99877']								
3006	G3PD4					MNXR99879			iYO844									['MNXR99879']				
67	G3PD5	Glycerol-3-phosphate dehydrogenase (ubiquinone-8)	GLYC3PDEHYDROG-RXN		rxn08556	MNXR99880	GLYC3PDEHYDROG-RXN	iML1515					['rxn08556']	['MNXR99880']								
355	G3PD6	Glycerol-3-phosphate dehydrogenase (menaquinone-8)			rxn08557	MNXR99881		iML1515					['rxn08557']	['MNXR99881']								
184	G3PD7	Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8)			rxn08558	MNXR99882		iML1515					['rxn08558']	['MNXR99882']								
1784	G3PEabcpp	Sn-glycerol-3-phosphoethanolamine transport via ABC system (periplasm)			rxn08559	MNXR99883		iML1515					['rxn08559']	['MNXR99883']								
1585	G3PEtex	Glycero-3-phosphoethanolamine transport via diffusion (extracellular to periplasm)			rxn08560	MNXR99884		iML1515					['rxn08560']	['MNXR99884']								
1678	G3PGabcpp	Sn-glycerol-3-phosphoglycerol transport via ABC system (periplasm)			rxn08561	MNXR99885		iML1515					['rxn08561']	['MNXR99885']								
1584	G3PGtex	Glycerophoglycerol transport via diffusion (extracellular to periplasm)			rxn08562	MNXR99886		iML1515					['rxn08562']	['MNXR99886']								
1679	G3PIabcpp	Sn-glycerol-3-phosphoethanolamine transport via ABC system (periplasm)			rxn08563	MNXR99887		iML1515					['rxn08563']	['MNXR99887']								
1582	G3PItex	Glycero-3-phospho-1-inositol transport via diffusion (extracellular to periplasm)			rxn13292; rxn08564	MNXR99888		iML1515					['rxn13292', 'rxn08564']	['MNXR99888']								
2954	G3POA_BS					MNXR143119			iYO844									['MNXR143119']				
1686	G3PSabcpp	Sn-glycerol-3-phosphoserine transport via ABC system (periplasm)			rxn08565	MNXR99892		iML1515					['rxn08565']	['MNXR99892']								
1132	G3PStex	Glycerophosphserine transport via diffusion (extracellular to periplasm)			rxn08566	MNXR99893		iML1515					['rxn08566']	['MNXR99893']								
300	G3PT	Glycerol-3-phosphatase	RXN-14965	R00841	rxn00610	MNXR99894	RXN-14965	iML1515			['META:RXN-14965']	['R00841']	['rxn00610']	['MNXR99894']								
502	G5SADs	L-glutamate 5-semialdehyde dehydratase (spontaneous)	SPONTPRO-RXN	R03314	rxn11220; rxn02374	MNXR99897	SPONTPRO-RXN	iML1515	iYO844	iAF692	['META:SPONTPRO-RXN']	['R03314']	['rxn11220', 'rxn02374']	['MNXR99897']	['META:SPONTPRO-RXN']	['R03314']	['rxn11220', 'rxn02374']	['MNXR99897']	['META:SPONTPRO-RXN']	['R03314']	['rxn11220', 'rxn02374']	['MNXR99897']
10	G5SD	Glutamate-5-semialdehyde dehydrogenase	GLUTSEMIALDEHYDROG-RXN	R03313	rxn02373	MNXR99896	GLUTSEMIALDEHYDROG-RXN	iML1515	iYO844		['META:GLUTSEMIALDEHYDROG-RXN']	['R03313']	['rxn02373']	['MNXR99896']	['META:GLUTSEMIALDEHYDROG-RXN']	['R03313']	['rxn02373']	['MNXR99896']				
3588	G5SD2				rxn09412	MNXR99898				iAF692											['rxn09412']	['MNXR99898']
168	G6PDA	Glucosamine-6-phosphate deaminase	GLUCOSAMINE-6-P-DEAMIN-RXN	R00765	rxn00552	MNXR99905	GLUCOSAMINE-6-P-DEAMIN-RXN	iML1515	iYO844			['R00765']	['rxn00552']	['MNXR99905']		['R00765']	['rxn00552']	['MNXR99905']				
615	G6PDH2r	Glucose 6-phosphate dehydrogenase	GLU6PDEHYDROG-RXN	R00835	rxn00604	MNXR99907	GLU6PDEHYDROG-RXN	iML1515	iYO844		['META:GLU6PDEHYDROG-RXN']	['R00835']	['rxn00604']	['MNXR99907']	['META:GLU6PDEHYDROG-RXN']	['R00835']	['rxn00604']	['MNXR99907']				
3589	G6PDH3				rxn10524	MNXR99908				iAF692											['rxn10524']	['MNXR99908']
3008	G6PI				rxn01977	MNXR99909			iYO844								['rxn01977']	['MNXR99909']				
1526	G6PP	Glucose-6-phosphate phosphatase	RXN66-526	R00303	rxn00220	MNXR99912		iML1515			['META:RXN66-526']	['R00303']	['rxn00220']	['MNXR99912']								
2957	G6Pt6_2				rxn08569; rxn05563	MNXR99913			iYO844								['rxn08569', 'rxn05563']	['MNXR99913']				
1827	G6Pt6_2pp	Glucose-6-phosphate transport via phosphate antiport (periplasm)			rxn08569; rxn05563	MNXR99913		iML1515					['rxn08569', 'rxn05563']	['MNXR99913']								
1254	G6Ptex	Glucose 6-phosphate transport via diffusion (extracellular to periplasm)			rxn08570; rxn13641; rxn09644	MNXR99915		iML1515					['rxn08570', 'rxn09644', 'rxn13641']	['MNXR99915']								
1289	GAL1PPpp	D-galactose 1-phosphatase	RXN-14938	R10622	rxn08571	MNXR99922		iML1515			['META:RXN-14938']	['R10622']	['rxn08571']	['MNXR99922']								
1599	GAL1Ptex	D-galactose 1-phosphate transport via diffusion (extracellular to periplasm)			rxn08572	MNXR99923		iML1515					['rxn08572']	['MNXR99923']								
1011	GALBDtex	Beta D-galactose transport via diffusion (extracellular to periplasm)			rxn08574	MNXR99953		iML1515					['rxn08574']	['MNXR99953']								
1518	GALCTD	Galactarate dehydratase	GALACTARDEHYDRA-RXN	R05608	rxn03887	MNXR99955	GALACTARDEHYDRA-RXN	iML1515			['META:GALACTARDEHYDRA-RXN']	['R05608']	['rxn03887']	['MNXR99955']								
3010	GALCTD_1		GALACTARDEHYDRA-RXN	R05608	rxn03887	MNXR99955			iYO844						['META:GALACTARDEHYDRA-RXN']	['R05608']	['rxn03887']	['MNXR99955']				
2309	GALCTLO	L-galactonate oxidoreductase	RXN0-5229		rxn08575	MNXR99956		iML1515			['META:RXN0-5229']		['rxn08575']	['MNXR99956']								
1683	GALCTND	Galactonate dehydratase	GALACTONDEHYDRAT-RXN	R03033	rxn02173	MNXR99957	GALACTONDEHYDRAT-RXN	iML1515			['META:GALACTONDEHYDRAT-RXN']	['R03033']	['rxn02173']	['MNXR99957']								
2308	GALCTNLt2pp	L-galactonate transport via proton symport (periplasm)	TRANS-RXN0-227		rxn08576	MNXR99958	TRANS-RXN0-227	iML1515			['META:TRANS-RXN0-227']		['rxn08576']	['MNXR99958']								
2236	GALCTNLtex	L-galactonate transport via diffusion (extracellular to periplasm)			rxn08577	MNXR99959		iML1515					['rxn08577']	['MNXR99959']								
2235	GALCTNt2pp	D-galactonate transport via proton symport (periplasm)	TRANS-RXN-16		rxn08578; rxn10160	MNXR99960		iML1515			['META:TRANS-RXN-16']		['rxn08578', 'rxn10160']	['MNXR99960']								
781	GALCTNtex	D-galactonate transport via diffusion (extracellular to periplasm)			rxn08579	MNXR99961		iML1515					['rxn08579']	['MNXR99961']								
3011	GALCTRt2				rxn05565; rxn08580	MNXR99962			iYO844								['rxn05565', 'rxn08580']	['MNXR99962']				
871	GALCTt2rpp	D-galactarte transport via proton symport, reversible (periplasm)	TRANS-RXN0-203		rxn05565; rxn08580	MNXR99962	TRANS-RXN0-203	iML1515					['rxn05565', 'rxn08580']	['MNXR99962']								
780	GALCTtex	D-galactarte transport via diffusion (extracellular to periplasm)	TRANS-RXN0-203		rxn12441; rxn08581	MNXR99963		iML1515			['META:TRANS-RXN0-203']		['rxn12441', 'rxn08581']	['MNXR99963']								
1665	GALKr	Galactokinase	GALACTOKIN-RXN	R01092	rxn00808	MNXR99985	GALACTOKIN-RXN	iML1515	iYO844		['META:GALACTOKIN-RXN']	['R01092']	['rxn00808']	['MNXR99985']	['META:GALACTOKIN-RXN']	['R01092']	['rxn00808']	['MNXR99985']				
1033	GALM2pp	Aldose-1-epimerase	ALDOSE1EPIM-RXN		rxn08582	MNXR99987	ALDOSE1EPIM-RXN	iML1515			['META:ALDOSE1EPIM-RXN']		['rxn08582']	['MNXR99987']								
3014	GALS1				rxn09983	MNXR100008			iYO844								['rxn09983']	['MNXR100008']				
3015	GALS2				rxn09984	MNXR100009			iYO844								['rxn09984']	['MNXR100009']				
473	GALS3	A-galactosidase (melibiose)	ALPHAGALACTOSID-RXN			MNXR138470		iML1515	iYO844		['META:ALPHAGALACTOSID-RXN']			['MNXR138470']	['META:ALPHAGALACTOSID-RXN']			['MNXR138470']				
3016	GALS4		RXN-11501	R03634; R06152	rxn02596	MNXR100010			iYO844						['META:RXN-11501']	['R06152', 'R03634']	['rxn02596']	['MNXR100010']				
3017	GALT		UTPHEXPURIDYLYLTRANS-RXN	R00502	rxn00355	MNXR100014	UTPHEXPURIDYLYLTRANS-RXN		iYO844	iAF692					['META:UTPHEXPURIDYLYLTRANS-RXN']	['R00502']	['rxn00355']	['MNXR100014']	['META:UTPHEXPURIDYLYLTRANS-RXN']	['R00502']	['rxn00355']	['MNXR100014']
1597	GALT1	Galactosyltransferase I (LPS core synthesis)			rxn08583	MNXR143120		iML1515					['rxn08583']	['MNXR143120']								
2958	GALTpts				rxn05567; rxn08586	MNXR100018			iYO844								['rxn08586', 'rxn05567']	['MNXR100018']				
1406	GALTptspp	Galactitol transport via PEP:Pyr PTS (periplasm)			rxn05567; rxn08586	MNXR100018		iML1515					['rxn08586', 'rxn05567']	['MNXR100018']								
782	GALTtex	Galactitol transport via diffusion (extracellular to periplasm)			rxn08587	MNXR100019		iML1515					['rxn08587']	['MNXR100019']								
3020	GALURt2r		TRANS-RXN-123		rxn05673; rxn08588	MNXR100020	TRANS-RXN-123		iYO844								['rxn08588', 'rxn05673']	['MNXR100020']				
1407	GALURt2rpp	D-galacturonate transport via proton symport, reversible (periplasm)	TRANS-RXN-123		rxn05673; rxn08588	MNXR100020	TRANS-RXN-123	iML1515					['rxn08588', 'rxn05673']	['MNXR100020']								
768	GALURtex	D-galacturonate transport via diffusion (extracellular to periplasm)			rxn08589	MNXR100021		iML1515					['rxn08589']	['MNXR100021']								
481	GALUi	UTP-glucose-1-phosphate uridylyltransferase (irreversible)	GLUC1PURIDYLTRANS-RXN	R00289	rxn00213	MNXR143121		iML1515	iYO844	iAF692	['META:GLUC1PURIDYLTRANS-RXN']	['R00289']	['rxn00213']	['MNXR143121']	['META:GLUC1PURIDYLTRANS-RXN']	['R00289']	['rxn00213']	['MNXR143121']	['META:GLUC1PURIDYLTRANS-RXN']	['R00289']	['rxn00213']	['MNXR143121']
1454	GALabcpp	D-galactose transport via ABC system (periplasm)	ABC-18-RXN		rxn08573; rxn05162	MNXR100023		iML1515			['META:ABC-18-RXN']		['rxn08573', 'rxn05162']	['MNXR100023']								
2965	GALt2		TRANS-RXN-21		rxn08584; rxn05566	MNXR100026			iYO844						['META:TRANS-RXN-21']		['rxn05566', 'rxn08584']	['MNXR100026']				
872	GALt2pp	D-galactose transport in via proton symport (periplasm)	TRANS-RXN-21		rxn08584; rxn05566	MNXR100026		iML1515			['META:TRANS-RXN-21']		['rxn05566', 'rxn08584']	['MNXR100026']								
773	GALtex	D-galactose transport via diffusion (extracellular to periplasm)			rxn08585; rxn10911	MNXR100025		iML1515					['rxn10911', 'rxn08585']	['MNXR100025']								
2962	GAM6Pt				rxn05568; rxn08591; rxn13642	MNXR100031			iYO844								['rxn13642', 'rxn08591', 'rxn05568']	['MNXR100031']				
1952	GAM6Pt6_2pp	D-Glucosamine 6-phosphate transport via phosphate antiport (periplasm)			rxn08590	MNXR100032		iML1515					['rxn08590']	['MNXR100032']								
1994	GAMAN6Ptex	D-glucosamine 6-phosphate transport via diffusion (extracellular to periplasm)			rxn05568; rxn08591; rxn13642	MNXR100031		iML1515					['rxn13642', 'rxn08591', 'rxn05568']	['MNXR100031']								
3021	GAMpts				rxn05569; rxn08592	MNXR100034			iYO844								['rxn08592', 'rxn05569']	['MNXR100034']				
1846	GAMptspp	D-glucosamine transport via PEP:Pyr PTS (periplasm)			rxn05569; rxn08592	MNXR100034		iML1515					['rxn08592', 'rxn05569']	['MNXR100034']								
796	GAMtex	D-glucosamine transport via diffusion (extracellular to periplasm)			rxn08593	MNXR100035		iML1515					['rxn08593']	['MNXR100035']								
601	GAPD	Glyceraldehyde-3-phosphate dehydrogenase	GAPOXNPHOSPHN-RXN	R01061	rxn00781	MNXR100040		iML1515	iYO844	iAF692	['META:GAPOXNPHOSPHN-RXN']	['R01061']	['rxn00781']	['MNXR100040']	['META:GAPOXNPHOSPHN-RXN']	['R01061']	['rxn00781']	['MNXR100040']	['META:GAPOXNPHOSPHN-RXN']	['R01061']	['rxn00781']	['MNXR100040']
3022	GAPDi_nadp		1.2.1.13-RXN	R01063	rxn00782	MNXR100041			iYO844	iAF692					['META:1.2.1.13-RXN']	['R01063']	['rxn00782']	['MNXR100041']	['META:1.2.1.13-RXN']	['R01063']	['rxn00782']	['MNXR100041']
2624	GAPP	Glyceraldehyde-3-phosphate phosphatase						iML1515														
547	GARFT	Phosphoribosylglycinamide formyltransferase		R04325		MNXR99623		iML1515	iYO844	iAF692		['R04325']		['MNXR99623']		['R04325']		['MNXR99623']		['R04325']		['MNXR99623']
521	GART	GAR transformylase-T	GARTRANSFORMYL2-RXN	R06974	rxn04783	MNXR100042	GARTRANSFORMYL2-RXN	iML1515	iYO844		['META:GARTRANSFORMYL2-RXN']	['R06974']	['rxn04783']	['MNXR100042']	['META:GARTRANSFORMYL2-RXN']	['R06974']	['rxn04783']	['MNXR100042']				
2970	GBBTNabc				rxn05570	MNXR100052			iYO844								['rxn05570']	['MNXR100052']				
797	GBBTNtex	Gamma-butyrobetaine transport via diffusion (extracellular to periplasm)			rxn08595	MNXR100053		iML1515					['rxn08595']	['MNXR100053']								
3026	GBEZY					MNXR100054			iYO844									['MNXR100054']				
1684	GCALDD	Glycolaldehyde dehydrogenase	GLYCOLALD-DEHYDROG-RXN	R01333	rxn00979	MNXR100060	GLYCOLALD-DEHYDROG-RXN	iML1515	iYO844		['META:GLYCOLALD-DEHYDROG-RXN']	['R01333']	['rxn00979']	['MNXR100060']	['META:GLYCOLALD-DEHYDROG-RXN']	['R01333']	['rxn00979']	['MNXR100060']				
3592	GCALDt				rxn09680; rxn09752	MNXR100061				iAF692											['rxn09752', 'rxn09680']	['MNXR100061']
1659	GDMANE	GDP-4-dehydro-6-deoxy-D-mannose epimerase	FCLEPIM-RXN		rxn08597	MNXR100087	FCLEPIM-RXN	iML1515		iAF692			['rxn08597']	['MNXR100087']							['rxn08597']	['MNXR100087']
1249	GDPDPK	GDP diphosphokinase	GDPPYPHOSKIN-RXN		rxn08598	MNXR100088	GDPPYPHOSKIN-RXN	iML1515			['META:GDPPYPHOSKIN-RXN']		['rxn08598']	['MNXR100088']								
1237	GDPMNH	GDP-mannose mannosyl hydrolase			rxn08599	MNXR100091		iML1515					['rxn08599']	['MNXR100091']								
2257	GDPMNP	GDP-mannose phyrophosphatase	RXN0-5108	R00881	rxn00639	MNXR100092	RXN0-5108	iML1515			['META:RXN0-5108']	['R00881']	['rxn00639']	['MNXR100092']								
2433	GDPTPDP	Guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase	RXN0-6427			MNXR100094	RXN0-6427	iML1515			['META:RXN0-6427']			['MNXR100094']								
969	GDPtex	GDP transport via diffusion (extracellular to periplasm)			rxn09815; rxn08600	MNXR100096		iML1515					['rxn08600', 'rxn09815']	['MNXR100096']								
3593	GF4GL_0		RXN-8080	R09399	rxn10525	MNXR100100				iAF692									['META:RXN-8080']	['R09399']	['rxn10525']	['MNXR100100']
3595	GF4GL_1		RXN-8081	R09400	rxn10526	MNXR100101				iAF692									['META:RXN-8081']	['R09400']	['rxn10526']	['MNXR100101']
3596	GF4GL_2				rxn10527	MNXR100102				iAF692											['rxn10527']	['MNXR100102']
3597	GF4GL_3				rxn10528	MNXR100103				iAF692											['rxn10528']	['MNXR100103']
3598	GF4GL_4				rxn10529	MNXR100104				iAF692											['rxn10529']	['MNXR100104']
3599	GF4GL_5				rxn10530	MNXR100105				iAF692											['rxn10530']	['MNXR100105']
3565	GF4GL_6				rxn10531	MNXR100106				iAF692											['rxn10531']	['MNXR100106']
